120,184
124,209
126,243
127,255
128,265
128,268
128,269
127,269
126,269
125,269
124,269
126,269
130,269
136,268
157,266
169,264
192,264
213,262
222,262
238,262
251,262
257,262
268,261
274,261
288,260
301,260
309,260
323,261
332,262
336,262
338,261
338,260
338,258
338,257
338,256
336,255
336,254
334,253
333,252
332,250
329,246
327,244
324,241
322,238
321,237
319,235
314,223
311,217
308,210
306,205
305,204
304,202
303,201
300,190
299,185
297,175
296,167
296,154
296,150
297,143
297,140
297,139
297,137
297,136
297,135
297,134
297,133
297,134
297,136
297,139
298,143
299,156
301,166
301,168
301,172
301,178
301,184
303,200
303,213
303,217
303,223
304,231
304,237
305,255
306,275
306,282
306,289
306,291
306,302
306,307
306,312
306,323
306,331
306,333
306,341
306,352
306,356
306,370
306,375
306,382
306,383
306,385
306,387
306,389
306,391
